EPOCHS_TMIN,EPOCHS_LENGTH,EPOCHS_EMPTY_FROM_MVT_TMINS,FMIN,FMAX,CLASSIFIER,RANDOM_STATE,N_SPLIT,NUMBER_OF_SESSIONS,score_A,score_B,score_C,score_X,duration,memory
-0.25,1.5,-4.0,1,40,SVC,42,4,89,0.8206649685813757,0.7896372576490363,0.7071125915549279,0.8173448081793719,805.938999414444,2444.6640625
-0.5,1.6,-4.0,1,40,SVC,42,4,89,0.8428987498493473,0.8020930083841811,0.7172841128164604,0.8330680809903823,801.343291759491,2624.52734375
-0.75,1.7,-4.0,1,40,SVC,42,4,89,0.844402682296323,0.8093942206785902,0.7182186664978408,0.835456885850625,842.3598816394806,2654.29296875
-1.0,1.8,-4.0,1,40,SVC,42,4,89,0.8313400411723597,0.8071084781037697,0.7058467096526196,0.8301457916829681,817.8304986953735,2764.72265625
-1.25,1.9,-4.0,1,40,SVC,42,4,89,0.8191815866887899,0.8014382071703827,0.6864052490759605,0.8135946567000416,842.4458782672882,2845.54296875
-1.5,2.0,-4.0,1,40,SVC,42,4,89,0.791186902683496,0.7781089553306515,0.6787306892396818,0.7857430677735905,830.9049813747406,2892.7734375
0.0,2.2,-4.0,1,40,SVC,42,4,89,0.7426170798492353,0.7117821908371315,0.6367898707600215,0.734533847969562,844.2554619312286,3188.58984375
-0.25,2.3,-4.0,1,40,SVC,42,4,89,0.7763083265377623,0.7409184576157992,0.6561944054813593,0.7686377757683767,842.2283699512482,3280.859375
-0.5,2.4,-4.0,1,40,SVC,42,4,89,0.8018883539668538,0.7684276065970355,0.6606914495713985,0.799466580876484,842.2507817745209,3461.0703125
-0.75,2.5,-4.0,1,40,SVC,42,4,89,0.8192178110139442,0.7844612675278115,0.666237411422115,0.8193566525672951,859.761402130127,3528.71484375
-1.0,1.5,-4.5,1,40,SVC,42,4,89,0.8328267544169341,0.8037124057189001,0.7057316051919216,0.8208582064971841,829.6583304405212,2456.33984375
-1.25,1.6,-4.5,1,40,SVC,42,4,89,0.8104904704255321,0.7841085446087256,0.6945469763186991,0.8044475787676217,828.0870082378387,2530.8359375
-1.5,1.7,-4.5,1,40,SVC,42,4,89,0.7718033665287998,0.7549632299932688,0.6730424977642495,0.7619307042413891,832.9145498275757,2654.2890625
0.0,1.9,-4.5,1,40,SVC,42,4,89,0.7785366536113785,0.7381646062486733,0.6568450699478305,0.7697259332850321,810.5339875221252,2975.59375
-0.25,2.0,-4.5,1,40,SVC,42,4,89,0.8026006025855467,0.7679592688303489,0.6803640821126755,0.8012951893757261,906.8654582500458,2932.36328125
-0.5,2.1,-4.5,1,40,SVC,42,4,89,0.8278179476722495,0.785424440830152,0.6954677833254674,0.8233912738023967,843.9987046718597,3126.0234375
-0.75,2.2,-4.5,1,40,SVC,42,4,89,0.8365967391796101,0.8014585544193873,0.7056563442178496,0.8348473963800789,861.0702948570251,3251.0703125
-1.0,2.3,-4.5,1,40,SVC,42,4,89,0.8430855256377263,0.8025802226926947,0.7033213693920193,0.8351951246904397,856.0088410377502,3373.48828125
-1.25,2.4,-4.5,1,40,SVC,42,4,89,0.8321782860541491,0.801769173092044,0.6962764397580776,0.8308859433354927,835.8238213062286,3272.37109375
-1.5,2.5,-4.5,1,40,SVC,42,4,89,0.8151060516055477,0.7860609856031517,0.6817677570292145,0.8087752615670465,849.8813011646271,3533.734375
0.0,1.6,-5.0,1,40,SVC,42,4,89,0.7951775627489153,0.7642118779171048,0.6757774033014584,0.7997808875541298,872.963495016098,2608.15625
-0.25,1.7,-5.0,1,40,SVC,42,4,89,0.8219068532647382,0.7933559161127913,0.6945902117409473,0.8193369341249092,882.6033236980438,2632.8359375
-0.5,1.8,-5.0,1,40,SVC,42,4,89,0.835340526277029,0.8079315331677785,0.7146214420265959,0.8386073461427626,822.6611452102661,3037.09375
-0.75,1.9,-5.0,1,40,SVC,42,4,89,0.8497560577032994,0.8249231014741438,0.7071426857410541,0.8463566477651646,894.1390843391418,2825.23828125
-1.0,2.0,-5.0,1,40,SVC,42,4,89,0.8482368628507349,0.8194241607721855,0.7085253326759331,0.8456054672786667,804.0307972431183,3019.671875
-1.25,2.1,-5.0,1,40,SVC,42,4,89,0.837394189674228,0.8090597427810795,0.6989870284303393,0.8321594069706292,818.6711668968201,2955.421875
-1.5,2.2,-5.0,1,40,SVC,42,4,89,0.8135655690167506,0.787684009662003,0.6819185570326387,0.8054947421605795,844.9660198688507,3239.734375
0.0,2.4,-5.0,1,40,SVC,42,4,89,0.7319390691253342,0.6972072196286843,0.6286065372761239,0.7182847374459904,907.3326930999756,3351.12890625
-0.25,2.5,-5.0,1,40,SVC,42,4,89,0.7720914673169532,0.7261882847155188,0.6429572985790866,0.753653078233466,918.1232261657715,3446.81640625
-0.5,1.5,-5.5,1,40,SVC,42,4,89,0.8406527588112139,0.8207283260800092,0.7184514416560954,0.8390925610322155,873.4205434322357,2388.109375
-0.75,1.6,-5.5,1,40,SVC,42,4,89,0.8531148573307832,0.8226633579286993,0.7194325466442129,0.8456723165201897,786.8477957248688,2908.40625
-1.0,1.7,-5.5,1,40,SVC,42,4,89,0.8411818463883656,0.8169995686195693,0.715495905931591,0.8409433166743453,786.4139003753662,2909.609375
-1.25,1.8,-5.5,1,40,SVC,42,4,89,0.8252296454602097,0.8041981750234621,0.697112240663895,0.8238789524808534,816.0019445419312,3020.8125
-1.5,1.9,-5.5,1,40,SVC,42,4,89,0.7902798013557019,0.783462765925407,0.6870925058128171,0.7883972326956885,881.48304438591,2890.5078125
0.0,2.1,-5.5,1,40,SVC,42,4,89,0.7620294946392153,0.7363973469747207,0.6463656531788937,0.7549209404819373,895.3764045238495,3191.19140625
-0.25,2.2,-5.5,1,40,SVC,42,4,89,0.7921840767080957,0.7637496012128019,0.6637230572992538,0.7873083833197804,912.9362337589264,3245.203125
-0.5,2.3,-5.5,1,40,SVC,42,4,89,0.820712795500307,0.7878586658423696,0.6873253220845482,0.8168367705355077,827.7520658969879,3392.50390625
-0.75,2.4,-5.5,1,40,SVC,42,4,89,0.8433584058913149,0.8063121153200689,0.7014465300759254,0.8359042391101823,820.5211207866669,3449.54296875
-1.0,2.5,-5.5,1,40,SVC,42,4,89,0.8449549356163898,0.8095590867794968,0.704288215181117,0.842325108611138,840.8586921691895,3638.8046875
-1.25,1.5,-6.0,1,40,SVC,42,4,89,0.8100295683974266,0.7850770809408933,0.7049146253784754,0.8100676258315824,858.7000348567963,2447.625
-1.5,1.6,-6.0,1,40,SVC,42,4,89,0.7705765075437584,0.7636880907635885,0.6812542778029255,0.7744567549099706,874.1395585536957,2644.60546875
